DATAFLOW,LAST UPDATE,freq,product,nrg_cons,unit,tax,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2016-S1,0.2969,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2016-S2,0.2977,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2017-S1,0.3048,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2017-S2,0.3048,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2018-S1,0.2987,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2018-S2,0.3000,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2019-S1,0.3088,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2019-S2,0.2878,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2020-S1,0.3043,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2020-S2,0.3006,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2021-S1,0.3193,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2021-S2,0.3234,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2022-S1,0.3279,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2022-S2,0.3357,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2023-S1,0.4125,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2023-S2,0.4020,,
ESTAT:NRG_PC_204(1.0),19/12/24 23:00:00,"Half-yearly, semesterly",Electrical energy,Consumption from 2 500 kWh to 4 999 kWh - band DC,Kilowatt-hour,All taxes and levies included,Euro,Germany,2024-S1,0.3951,,
